,zcr,ste,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,mfccs_mean_13,mfccs_std_13
Magaret_Tarcher.mp3,0.10058095812087982,54.04786682128906,-218.12791442871094,77.95301818847656,128.5390167236328,30.946321487426758,-51.66493606567383,44.110538482666016,37.04218673706055,22.947608947753906,-19.418872833251953,17.9578857421875,1.380095362663269,17.39006233215332,-19.29591178894043,15.740137100219727,-4.846589088439941,15.672017097473145,-11.56959342956543,12.210006713867188,-14.57427978515625,10.654642105102539,-17.364742279052734,10.727668762207031,-18.076435089111328,10.017627716064453,-8.431289672851562,9.473969459533691
Lalu Yadav.mp3,0.05430396706463039,16.20164680480957,-298.34320068359375,69.92369079589844,157.2881317138672,30.631017684936523,-45.224037170410156,39.04721450805664,21.489112854003906,20.14963722229004,-7.957980632781982,19.851625442504883,-11.634549140930176,16.4721736907959,2.0450894832611084,12.00771713256836,-7.899925708770752,13.800951957702637,4.449320316314697,12.109980583190918,-8.08880615234375,10.222481727600098,-3.355349540710449,10.098684310913086,-2.354987621307373,10.205729484558105,-6.244597911834717,9.989892959594727
Pandit Jawaharlal Nehru Tryst with Destiny  1947.mp3,0.025863667251844195,17.409311294555664,-372.89190673828125,62.87576675415039,156.3384246826172,40.568450927734375,26.062376022338867,27.7100830078125,15.090024948120117,18.728071212768555,20.720306396484375,15.155824661254883,10.264925956726074,14.99409294128418,4.379189968109131,11.739921569824219,-5.3205060958862305,9.57341480255127,-10.788335800170898,13.479961395263672,-5.996059894561768,10.422384262084961,-5.032127380371094,9.174952507019043,-9.441168785095215,11.534429550170898,-5.819485187530518,10.323185920715332
Atal Bihari Vajpayee.mp3,0.046643377362630634,4.674022197723389,-389.21240234375,62.46139907836914,140.70907592773438,40.93327713012695,-9.66450309753418,21.196928024291992,28.212844848632812,18.55299949645996,5.2116899490356445,16.621849060058594,-0.4536411166191101,13.171319961547852,8.214757919311523,11.556315422058105,-9.170108795166016,11.399131774902344,8.140458106994629,9.843607902526855,-0.5346278548240662,8.910289764404297,-7.200152397155762,10.085800170898438,5.906758785247803,8.415072441101074,-3.2947371006011963,8.59835433959961
Donald TRUMP.mp3,0.06808637508709868,1.345581293106079,-395.3265380859375,96.3395004272461,117.23332977294922,49.21831512451172,-30.94998550415039,47.55311965942383,4.10670804977417,28.45298957824707,3.045681953430176,24.33562469482422,7.567462921142578,17.816734313964844,-4.470067024230957,12.319992065429688,-9.464051246643066,14.034528732299805,-7.766570568084717,11.164384841918945,-4.143893241882324,9.534622192382812,-6.550318717956543,9.407553672790527,-9.130550384521484,11.364900588989258,-2.9564712047576904,8.894036293029785
Indira Gandhi.mp3,0.030600095115208163,1.8010700941085815,-474.2021179199219,50.54724884033203,166.61778259277344,37.71096420288086,28.754858016967773,16.457077026367188,-11.113316535949707,17.052616119384766,-10.70450210571289,14.093839645385742,9.877854347229004,9.122319221496582,0.007137323264032602,10.533266067504883,-4.45065450668335,11.688056945800781,-12.8962984085083,9.832470893859863,-0.6331667900085449,8.792550086975098,-2.8375892639160156,9.739919662475586,-2.272411823272705,8.946571350097656,-8.181907653808594,8.377649307250977
Nelson_Mandela.mp3,0.15018467871295843,51.73737716674805,-147.66110229492188,45.594844818115234,98.83174896240234,27.891542434692383,-27.20326805114746,34.509620666503906,64.90647888183594,20.545196533203125,-24.37796974182129,14.277626991271973,36.458744049072266,14.712416648864746,-38.697017669677734,12.864291191101074,21.385190963745117,12.683095932006836,-27.07880973815918,11.339268684387207,-4.568901062011719,12.435614585876465,-8.237717628479004,10.920062065124512,-13.082049369812012,9.009420394897461,-2.7209348678588867,8.810105323791504
PM Shri Narendra Modi.mp3,0.05404980642525946,1.5952764749526978,-429.2609558105469,110.17657470703125,145.57632446289062,25.447364807128906,-24.715045928955078,39.21965026855469,12.522613525390625,22.727745056152344,-11.931194305419922,22.208980560302734,3.4881699085235596,17.682464599609375,-26.23919105529785,17.002450942993164,-5.973627090454102,12.305147171020508,-6.168406009674072,13.383004188537598,-8.373985290527344,10.50460433959961,-4.512925624847412,10.66865062713623,0.47153979539871216,9.593655586242676,2.118173599243164,9.070195198059082
Dr. Shashi Tharoor.mp3,0.06620695443938408,24.43279266357422,-362.8525695800781,88.76895141601562,99.9187240600586,59.32078552246094,11.496939659118652,31.1943302154541,28.444143295288086,25.24357032775879,21.749736785888672,21.16440773010254,6.401828765869141,18.66984748840332,-18.183942794799805,15.973878860473633,-16.353031158447266,16.255170822143555,-12.14797592163086,12.057024955749512,-8.351088523864746,10.472002983093262,-18.522249221801758,13.376932144165039,-11.229565620422363,11.710200309753418,-2.053079843521118,11.362886428833008
SWAMI VIVEKANAND.mp3,0.07315537008250114,34.21242904663086,-252.8737030029297,59.38420486450195,163.83734130859375,33.483516693115234,-71.28829956054688,23.63619613647461,1.6995644569396973,15.842906951904297,0.14890055358409882,15.648927688598633,3.2032768726348877,13.806218147277832,-3.4012279510498047,11.764389038085938,-15.393470764160156,11.190555572509766,-11.807452201843262,9.03239631652832,-9.721817016601562,10.416861534118652,-0.9868972897529602,9.677470207214355,-8.106080055236816,9.885636329650879,-0.7690718173980713,9.316574096679688
